category,over_represented_pvalue,padj,under_represented_pvalue,numDEInCat,numInCat,type,enrich,contrast,organism,main,sub,module,Category,PATH,pathway,path
09122,3.49542500470929e-5,8.738562511773224e-4,0.9999942166958106,12,74,down,sub,C2vsC1_prot,MED4,09120 Genetic Information Processing,09122 Translation,Translation,Genetic Info,09122 Translation,Translation,NA
09182,0.010896697880503443,0.13620872350629304,0.9955542744887145,20,275,down,sub,C2vsC1_prot,MED4,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,09182 Protein families: genetic information processing,Protein families: genetic information processing,NA
09109,0.323050160863123,1,0.8959223578996818,2,25,down,sub,C2vsC1_prot,MED4,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,terpenoids and polyketides,Metabolism,09109 Metabolism of terpenoids and polyketides,Metabolism of terpenoids and polyketides,NA
09132,0.3463884380821053,1,0.8824202996971897,2,27,down,sub,C2vsC1_prot,MED4,09130 Environmental Information Processing,09132 Signal transduction,Signal transduction,Env. Info/Cellular Process,09132 Signal transduction,Signal transduction,NA
09192,0.36198013818361335,1,0.9327281119246262,1,10,down,sub,C2vsC1_prot,MED4,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,Unclassified: genetic information processing,Genetic Info,09192 Unclassified: genetic information processing,Unclassified: genetic information processing,NA
09181,0.4331007996958865,1,0.7174545432044539,8,156,down,sub,C2vsC1_prot,MED4,09180 Brite Hierarchies,09181 Protein families: metabolism,Protein families:,Metabolism,09181 Protein families: metabolism,Protein families: metabolism,NA
09102,0.5267323809160316,1,0.6633418301687913,5,105,down,sub,C2vsC1_prot,MED4,09100 Metabolism,09102 Energy metabolism,Energy,Energy/Carbohydrate/Glycan,09102 Energy metabolism,Energy metabolism,NA
09101,0.6257595980130811,1,0.5828735332924382,4,90,down,sub,C2vsC1_prot,MED4,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,09101 Carbohydrate metabolism,Carbohydrate metabolism,NA
09145,0.6574653401258632,1,0.7233256832080025,1,22,down,sub,C2vsC1_prot,MED4,09140 Cellular Processes,09145 Cellular community - prokaryotes,Cellular community - prokaryotes,Env. Info/Cellular Process,09145 Cellular community - prokaryotes,Cellular community - prokaryotes,NA
09191,0.6607724443616052,1,0.6192761705763123,2,50,down,sub,C2vsC1_prot,MED4,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,Unclassified:,Energy/Carbohydrate/Glycan,09191 Unclassified: metabolism,Unclassified: metabolism,NA
09103,0.6712703849730344,1,0.7079649962071382,1,24,down,sub,C2vsC1_prot,MED4,09100 Metabolism,09103 Lipid metabolism,Lipid,Metabolism,09103 Lipid metabolism,Lipid metabolism,NA
09123,0.7501804303196435,1,0.6108968775009692,1,28,down,sub,C2vsC1_prot,MED4,09120 Genetic Information Processing,"09123 Folding, sorting and degradation","Folding, sorting and degradation",Genetic Info,"09123 Folding, sorting and degradation","Folding, sorting and degradation",NA
09194,0.7606169676642892,1,0.5956187924435481,1,31,down,sub,C2vsC1_prot,MED4,09190 Not Included in Pathway or Brite,09194 Poorly characterized,Poorly characterized,Uncharacterized,09194 Poorly characterized,Poorly characterized,NA
09124,0.8423118100075596,1,0.46318830668433253,1,36,down,sub,C2vsC1_prot,MED4,09120 Genetic Information Processing,09124 Replication and repair,Replication and repair,Genetic Info,09124 Replication and repair,Replication and repair,NA
09131,0.8589806768012843,1,0.43065659872922335,1,41,down,sub,C2vsC1_prot,MED4,09130 Environmental Information Processing,09131 Membrane transport,Membrane transport,Membrane transport,09131 Membrane transport,Membrane transport,NA
09183,0.8642237929092815,1,0.27503449040187034,4,128,down,sub,C2vsC1_prot,MED4,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,Env. Info/Cellular Process,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,NA
