category,over_represented_pvalue,padj,under_represented_pvalue,numDEInCat,numInCat,type,enrich,contrast,organism,main,sub,module,Category,PATH,pathway,path
09101,0.0037325238464237013,0.09331309616059254,0.9984458461048257,22,90,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,09101 Carbohydrate metabolism,Carbohydrate metabolism,NA
09102,0.01599816115728339,0.19997701446604238,0.9923070623914866,21,105,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09102 Energy metabolism,Energy,Energy/Carbohydrate/Glycan,09102 Energy metabolism,Energy metabolism,NA
09183,0.03714286992987054,0.2700220223954967,0.979554874644335,24,128,is_de,sub,C2vsC1_prot,MED4,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,Env. Info/Cellular Process,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,NA
09122,0.043203523583279474,0.2700220223954967,0.9795880879518402,14,74,is_de,sub,C2vsC1_prot,MED4,09120 Genetic Information Processing,09122 Translation,Translation,Genetic Info,09122 Translation,Translation,NA
09131,0.07201733758617598,0.31761682044556633,0.9694973950771526,9,41,is_de,sub,C2vsC1_prot,MED4,09130 Environmental Information Processing,09131 Membrane transport,Membrane transport,Membrane transport,09131 Membrane transport,Membrane transport,NA
09111,0.07622803690693591,0.31761682044556633,0.981161121075116,4,14,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and,Metabolism,09111 Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,NA
09132,0.11006518981559626,0.39308996362712956,0.9580418311036432,6,27,is_de,sub,C2vsC1_prot,MED4,09130 Environmental Information Processing,09132 Signal transduction,Signal transduction,Env. Info/Cellular Process,09132 Signal transduction,Signal transduction,NA
09182,0.2541968097259056,0.7311752868449192,0.8082756517149372,40,275,is_de,sub,C2vsC1_prot,MED4,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,09182 Protein families: genetic information processing,Protein families: genetic information processing,NA
09104,0.2632231032641709,0.7311752868449192,0.846634535528878,9,55,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09104 Nucleotide metabolism,Nucleotide,AA/Nucleotide,09104 Nucleotide metabolism,Nucleotide metabolism,NA
09143,0.3336091023930276,0.834022755982569,0.8656925781567253,3,15,is_de,sub,C2vsC1_prot,MED4,09140 Cellular Processes,09143 Cell growth and death,Cell growth and death,Env. Info/Cellular Process,09143 Cell growth and death,Cell growth and death,NA
09105,0.3720954386902031,0.8456714515686435,0.7322460761969698,16,109,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,09105 Amino acid metabolism,Amino acid metabolism,NA
09106,0.4614711205424755,0.9613981677968241,0.7257454762020932,5,31,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09106 Metabolism of other amino acids,other amino acids,AA/Nucleotide,09106 Metabolism of other amino acids,Metabolism of other amino acids,NA
09123,0.6041341170856674,1,0.6100860777379155,4,28,is_de,sub,C2vsC1_prot,MED4,09120 Genetic Information Processing,"09123 Folding, sorting and degradation","Folding, sorting and degradation",Genetic Info,"09123 Folding, sorting and degradation","Folding, sorting and degradation",NA
09124,0.6965180270505168,1,0.48679527488844515,5,36,is_de,sub,C2vsC1_prot,MED4,09120 Genetic Information Processing,09124 Replication and repair,Replication and repair,Genetic Info,09124 Replication and repair,Replication and repair,NA
09192,0.7016209070805263,1,0.6838677676208222,1,10,is_de,sub,C2vsC1_prot,MED4,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,Unclassified: genetic information processing,Genetic Info,09192 Unclassified: genetic information processing,Unclassified: genetic information processing,NA
09145,0.8411301629203991,1,0.37907789716823254,2,22,is_de,sub,C2vsC1_prot,MED4,09140 Cellular Processes,09145 Cellular community - prokaryotes,Cellular community - prokaryotes,Env. Info/Cellular Process,09145 Cellular community - prokaryotes,Cellular community - prokaryotes,NA
09110,0.8508266822409364,1,0.3607286430897992,2,25,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,other secondary metabolites,Metabolism,09110 Biosynthesis of other secondary metabolites,Biosynthesis of other secondary metabolites,NA
09191,0.8554397085610876,1,0.28725841648943695,4,50,is_de,sub,C2vsC1_prot,MED4,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,Unclassified:,Energy/Carbohydrate/Glycan,09191 Unclassified: metabolism,Unclassified: metabolism,NA
09109,0.872709836970035,1,0.3222277012859472,2,25,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,terpenoids and polyketides,Metabolism,09109 Metabolism of terpenoids and polyketides,Metabolism of terpenoids and polyketides,NA
09194,0.9010559968807179,1,0.26569931166161154,2,31,is_de,sub,C2vsC1_prot,MED4,09190 Not Included in Pathway or Brite,09194 Poorly characterized,Poorly characterized,Uncharacterized,09194 Poorly characterized,Poorly characterized,NA
09108,0.940063714827422,1,0.1056380414550431,12,131,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09108 Metabolism of cofactors and vitamins,cofactors and vitamins,Metabolism,09108 Metabolism of cofactors and vitamins,Metabolism of cofactors and vitamins,NA
09103,0.9579220508916154,1,0.18656737376161525,1,24,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09103 Lipid metabolism,Lipid,Metabolism,09103 Lipid metabolism,Lipid metabolism,NA
09181,0.9884270890570561,1,0.023703713413820278,13,156,is_de,sub,C2vsC1_prot,MED4,09180 Brite Hierarchies,09181 Protein families: metabolism,Protein families:,Metabolism,09181 Protein families: metabolism,Protein families: metabolism,NA
09107,0.9945574407572281,1,0.036682742553424914,1,36,is_de,sub,C2vsC1_prot,MED4,09100 Metabolism,09107 Glycan biosynthesis and metabolism,Glycan  and,Energy/Carbohydrate/Glycan,09107 Glycan biosynthesis and metabolism,Glycan biosynthesis and metabolism,NA
09193,1,1,0.25628406939922216,0,10,is_de,sub,C2vsC1_prot,MED4,09190 Not Included in Pathway or Brite,09193 Unclassified: signaling and cellular processes,Unclassified: signaling and cellular processes,Env. Info/Cellular Process,09193 Unclassified: signaling and cellular processes,Unclassified: signaling and cellular processes,NA
00910,1.3077051929470825e-5,0.0012684740371586701,1,6,6,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09102 Energy metabolism,Energy,Nitrogen metabolism,00910 Nitrogen metabolism [PATH:ko00910],Nitrogen metabolism,00910 Nitrogen metabolism [PATH:ko00910]
03011,5.690924678569656e-4,0.027600984691062834,0.9998558817204282,13,50,is_de,path,C2vsC1_prot,MED4,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,03011 Ribosome [BR:ko03011],Ribosome,03011 Ribosome [BR:ko03011]
03010,0.001668604642482342,0.053951550106929064,0.9995429051216118,12,49,is_de,path,C2vsC1_prot,MED4,09120 Genetic Information Processing,09122 Translation,Translation,Genetic Info,03010 Ribosome [PATH:ko03010],Ribosome,03010 Ribosome [PATH:ko03010]
00680,0.003980320251559574,0.09652276610031968,0.9994572821212325,6,12,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09102 Energy metabolism,Energy,Energy/Carbohydrate/Glycan,00680 Methane metabolism [PATH:ko00680],Methane metabolism,00680 Methane metabolism [PATH:ko00680]
00020,0.00501986405885001,0.09738536274169018,0.9994634285808662,5,9,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle),00020 Citrate cycle (TCA cycle) [PATH:ko00020]
03036,0.012967550222050619,0.1986338881821116,0.9969122812283341,7,21,is_de,path,C2vsC1_prot,MED4,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,03036 Chromosome and associated proteins [BR:ko03036],Chromosome and associated proteins,03036 Chromosome and associated proteins [BR:ko03036]
02010,0.014334404301801868,0.1986338881821116,0.9956635891592505,9,32,is_de,path,C2vsC1_prot,MED4,09130 Environmental Information Processing,09131 Membrane transport,Membrane transport,Membrane transport,02010 ABC transporters [PATH:ko02010],ABC transporters,02010 ABC transporters [PATH:ko02010]
00220,0.017354352554953868,0.21042152472881565,0.9968876119834095,5,13,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,00220 Arginine biosynthesis [PATH:ko00220],Arginine biosynthesis,00220 Arginine biosynthesis [PATH:ko00220]
02020,0.060410944919936455,0.5970899331866962,0.9833300716542105,5,18,is_de,path,C2vsC1_prot,MED4,09130 Environmental Information Processing,09132 Signal transduction,Signal transduction,Env. Info/Cellular Process,02020 Two-component system [PATH:ko02020],Two-component system,02020 Two-component system [PATH:ko02020]
00720,0.06621605385622249,0.5970899331866962,0.9853589675363029,4,11,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09102 Energy metabolism,Energy,Photosynthesis/Carbon fixation,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],Carbon fixation pathways in prokaryotes,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
00630,0.06771122953663565,0.5970899331866962,0.9814056918023772,5,15,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],Glyoxylate and dicarboxylate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
00230,0.0781822929014808,0.6319735342869698,0.968194633865238,8,36,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09104 Nucleotide metabolism,Nucleotide,AA/Nucleotide,00230 Purine metabolism [PATH:ko00230],Purine metabolism,00230 Purine metabolism [PATH:ko00230]
00051,0.08831046034980747,0.6589318964562557,0.9830081938821185,3,9,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,00051 Fructose and mannose metabolism [PATH:ko00051],Fructose and mannose metabolism,00051 Fructose and mannose metabolism [PATH:ko00051]
02000,0.09761390309361173,0.6763249000057384,0.9488305808409712,13,68,is_de,path,C2vsC1_prot,MED4,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,Membrane transport,02000 Transporters [BR:ko02000],Transporters,02000 Transporters [BR:ko02000]
03019,0.12114521331279694,0.77023712949031,0.9658089295135113,4,12,is_de,path,C2vsC1_prot,MED4,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,03019 Messenger RNA biogenesis [BR:ko03019],Messenger RNA biogenesis,03019 Messenger RNA biogenesis [BR:ko03019]
00030,0.12704942342108205,0.77023712949031,0.9617219362921862,4,15,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,00030 Pentose phosphate pathway [PATH:ko00030],Pentose phosphate pathway,00030 Pentose phosphate pathway [PATH:ko00030]
04812,0.14332708954468742,0.8178075109314518,0.9774362504140155,2,6,is_de,path,C2vsC1_prot,MED4,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,Env. Info/Cellular Process,04812 Cytoskeleton proteins [BR:ko04812],Cytoskeleton proteins,04812 Cytoskeleton proteins [BR:ko04812]
02048,0.18386222689560822,0.9801037863717894,0.9661161991620583,2,6,is_de,path,C2vsC1_prot,MED4,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,Env. Info/Cellular Process,02048 Prokaryotic defense system [BR:ko02048],Prokaryotic defense system,02048 Prokaryotic defense system [BR:ko02048]
00250,0.1919790921759175,0.9801037863717894,0.9313911830234689,4,16,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","Alanine, aspartate and glutamate metabolism","00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
00480,0.22184382404735545,1,0.9300329681185763,3,12,is_de,path,C2vsC1_prot,MED4,09100 Metabolism,09106 Metabolism of other amino acids,other amino acids,AA/Nucleotide,00480 Glutathione metabolism [PATH:ko00480],Glutathione metabolism,00480 Glutathione metabolism [PATH:ko00480]
