module,pathway,Coculture down,Coculture up,Axenic down,Axenic up,Axenic late down,Axenic late up
Cell motility,Cell motility,100%,0%,50%,0%,0.5,0
Cell motility,Bacterial chemotaxis,91%,0%,50%,0%,0.5,0
Signal transduction,Signal transduction,73%,0%,50%,0%,0.5,0
Energy,Energy metabolism,45%,18%,0%,0%,0,0
Energy,Oxidative phosphorylation,36%,18%,0%,50%,0,0
Energy,Photosynthesis,36%,18%,0%,0%,0,0
Signal transduction,Two-component system,55%,0%,50%,0%,0.5,0
Amino acid,Amino acid metabolism,9%,36%,0%,0%,0.5,0
Carbohydrate,Carbohydrate metabolism,9%,36%,0%,0%,0,0
Translation,Ribosome,9%,36%,0%,50%,0,0.5
Translation,Translation,9%,36%,0%,50%,0.5,0.5
"Folding, sorting and degradation","Folding, sorting and degradation",27%,9%,0%,0%,0,0
Lipid,Fatty acid biosynthesis,18%,18%,0%,0%,0,0
Membrane transport,Bacterial secretion system,36%,0%,0%,0%,0,0
Nucleotide,Nucleotide metabolism,0%,36%,0%,0%,0.5,0
Nucleotide,Pyrimidine metabolism,0%,36%,0%,0%,0,0
Amino acid,"Valine, leucine and isoleucine degradation",0%,27%,0%,0%,0.5,0.5
Cell motility,Flagellar assembly,27%,0%,50%,0%,0.5,0.5
Cellular community - prokaryotes,Cellular community - prokaryotes,27%,0%,0%,0%,0,0
Energy,Nitrogen metabolism,0%,27%,0%,0%,0,0
Xenobiotics biodegradation and,Xenobiotics biodegradation and metabolism,0%,27%,0%,0%,0,0
Amino acid,"Alanine, aspartate and glutamate metabolism",9%,9%,0%,0%,0,0
Amino acid,Lysine biosynthesis,0%,18%,0%,0%,0,0
Energy,Carbon fixation pathways in prokaryotes,18%,0%,0%,0%,0,0
Lipid,Lipid metabolism,0%,18%,0%,0%,0,0
Translation,Aminoacyl-tRNA biosynthesis,9%,9%,0%,0%,0,0
cofactors and vitamins,Metabolism of cofactors and vitamins,0%,18%,0%,0%,0.5,0
Amino acid,Cysteine and methionine metabolism,9%,0%,0%,0%,0,0
Amino acid,"Glycine, serine and threonine metabolism",9%,0%,0%,0%,0,0
Amino acid,"Valine, leucine and isoleucine biosynthesis",9%,0%,0%,0%,0.5,0
Carbohydrate,Glycolysis / Gluconeogenesis,9%,0%,0%,0%,0,0
Carbohydrate,Propanoate metabolism,0%,9%,0%,0%,0,0
Carbohydrate,Starch and sucrose metabolism,0%,9%,0%,0%,0,0
Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae,9%,0%,0%,0%,0,0
Lipid,Fatty acid degradation,0%,9%,0%,0%,0,0
Membrane transport,Membrane transport,0%,9%,0%,0%,0,0
