sample_id,condition,bottle,replicate,patient_id,Day,batch,day_bin,PRO_nosybr,events
C0A-d10,C,0,A,C0A,10,25_1_specimen2,"(5,10]",15306427.50373683,5120
C0A-d11,C,0,A,C0A,11,25_1_specimen2,"(10,20]",33112107.623318188,11076
C0A-d13,C,0,A,C0A,13,25_1_specimen2,"(10,20]",42373692.0777277,14174
C0A-d14,C,0,A,C0A,14,25_1_specimen3,"(10,20]",44352681.851579465,15091
C0A-d15,C,0,A,C0A,15,25_1_specimen3,"(10,20]",68302718.5892722,23240
C0A-d17,C,0,A,C0A,17,25_1_specimen3,"(10,20]",41354886.113151856,14071
C0A-d18,C,0,A,C0A,18,15_2_specimen1,"(10,20]",65463068.181818224,23043
C0A-d19,C,0,A,C0A,19,15_2_specimen1,"(10,20]",68085227.27272733,23966
C0A-d20,C,0,A,C0A,20,15_2_specimen1,"(10,20]",36781250.00000003,12947
C0A-d21,C,0,A,C0A,21,15_2_specimen1,"(20,30]",40866477.2727273,14385
C0A-d24,C,0,A,C0A,24,15_2_specimen2,"(20,30]",36510703.36391418,11939
C0A-d28,C,0,A,C0A,28,15_2_specimen2,"(20,30]",24966360.85626898,8164
C0A-d3,C,0,A,C0A,3,25_1_specimen1,"(0,5]",1177134.791813697,417
C0A-d31,C,0,A,C0A,31,15_2_specimen2,"(30,40]",18902140.672782775,6181
C0A-d33,C,0,A,C0A,33,22_2_specimen1,"(30,40]",22864864.864864834,5922
C0A-d35,C,0,A,C0A,35,22_2_specimen1,"(30,40]",20328185.3281853,5265
C0A-d39,C,0,A,C0A,39,22_2_specimen1,"(30,40]",7737451.7374517275,2004
C0A-d42,C,0,A,C0A,42,22_2_specimen1,"(40,50]",7772200.772200762,2013
C0A-d45,C,0,A,C0A,45,22_2_specimen2,"(40,50]",6560719.640179912,2188
C0A-d47,C,0,A,C0A,47,22_2_specimen2,"(40,50]",5598200.8995502265,1867
C0A-d5,C,0,A,C0A,5,25_1_specimen1,"(0,5]",2704304.869442498,958
C0A-d52,C,0,A,C0A,52,22_2_specimen2,"(50,60]",5532233.883058473,1845
C0A-d54,C,0,A,C0A,54,22_2_specimen2,"(50,60]",4167916.0419790116,1390
C0A-d56,C,0,A,C0A,56,3_1_specimen1,"(50,60]",3575017.9468772556,1245
C0A-d60,C,0,A,C0A,60,3_1_specimen1,"(50,60]",3017946.87724337,1051
C0A-d63,C,0,A,C0A,63,3_1_specimen1,"(60,70]",2529791.8162239855,881
C0A-d68,C,0,A,C0A,68,3_1_specimen2,"(60,70]",3591413.767579559,1213
C0A-d7,C,0,A,C0A,7,25_1_specimen1,"(5,10]",5719124.911785492,2026
C0A-d74,C,0,A,C0A,74,3_1_specimen2,"(70,80]",3011102.8867505454,1017
C0A-d84,C,0,A,C0A,84,3_1_specimen2,"(80,100]",2507772.0207253806,847
C0A-d89,C,0,A,C0A,89,3_1_specimen2,"(80,100]",2143597.3353071725,724
C0B-d10,C,0,B,C0B,10,25_1_specimen2,"(5,10]",1228699.5515694993,411
C0B-d11,C,0,B,C0B,11,25_1_specimen2,"(10,20]",2188340.8071748745,732
C0B-d13,C,0,B,C0B,13,25_1_specimen2,"(10,20]",4508221.225709988,1508
C0B-d14,C,0,B,C0B,14,25_1_specimen3,"(10,20]",6680382.07200584,2273
C0B-d15,C,0,B,C0B,15,25_1_specimen3,"(10,20]",11041880.969875028,3757
C0B-d17,C,0,B,C0B,17,25_1_specimen3,"(10,20]",11500367.376928663,3913
C0B-d18,C,0,B,C0B,18,15_2_specimen1,"(10,20]",37036931.81818184,13037
C0B-d19,C,0,B,C0B,19,15_2_specimen1,"(10,20]",57877840.90909095,20373
C0B-d20,C,0,B,C0B,20,15_2_specimen1,"(10,20]",69346590.90909097,24410
C0B-d21,C,0,B,C0B,21,15_2_specimen1,"(20,30]",64252840.90909095,22617
C0B-d24,C,0,B,C0B,24,15_2_specimen2,"(20,30]",45082568.80733921,14742
C0B-d28,C,0,B,C0B,28,15_2_specimen2,"(20,30]",19519877.675840873,6383
C0B-d3,C,0,B,C0B,3,25_1_specimen1,"(0,5]",355681.0162314768,126
C0B-d31,C,0,B,C0B,31,15_2_specimen2,"(30,40]",15525993.883791966,5077
C0B-d33,C,0,B,C0B,33,22_2_specimen1,"(30,40]",19749034.749034725,5115
C0B-d35,C,0,B,C0B,35,22_2_specimen1,"(30,40]",16482625.48262546,4269
C0B-d39,C,0,B,C0B,39,22_2_specimen1,"(30,40]",8617760.617760606,2232
C0B-d42,C,0,B,C0B,42,22_2_specimen1,"(40,50]",7756756.756756746,2009
C0B-d45,C,0,B,C0B,45,22_2_specimen2,"(40,50]",4650674.662668667,1551
C0B-d47,C,0,B,C0B,47,22_2_specimen2,"(40,50]",4119940.0299850088,1374
C0B-d5,C,0,B,C0B,5,25_1_specimen1,"(0,5]",146788.99082568884,52
C0B-d52,C,0,B,C0B,52,22_2_specimen2,"(50,60]",2824587.7061469276,942
C0B-d54,C,0,B,C0B,54,22_2_specimen2,"(50,60]",2449775.1124437787,817
C0B-d56,C,0,B,C0B,56,3_1_specimen1,"(50,60]",2725053.8406317392,949
C0B-d60,C,0,B,C0B,60,3_1_specimen1,"(50,60]",2064608.7580761015,719
C0B-d63,C,0,B,C0B,63,3_1_specimen1,"(60,70]",1651112.7063890938,575
C0B-d68,C,0,B,C0B,68,3_1_specimen2,"(60,70]",1658031.088082896,560
C0B-d7,C,0,B,C0B,7,25_1_specimen1,"(5,10]",299223.7120677503,106
C0B-d74,C,0,B,C0B,74,3_1_specimen2,"(70,80]",2587712.8053293773,874
C0B-d84,C,0,B,C0B,84,3_1_specimen2,"(80,100]",1663952.6276831923,562
C0B-d89,C,0,B,C0B,89,3_1_specimen2,"(80,100]",1797187.2686898534,607
C0C-d10,C,0,C,C0C,10,25_1_specimen2,"(5,10]",7883408.071748831,2637
