Plate information 
Plate,Repeat,Barcode,Measurement date,Inside temperature at start,Inside temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",25/10/2021 17:54:49,26.45,26.45,27.5,27.6,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas A,0,287669,76,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,Sample,MeasA:Result,
A01,-,0.1370,
A02,-,0.1500,
A03,-,0.1470,
A04,-,0.1480,
A05,-,0.1540,
A06,-,0.1460,
A07,-,0.1360,
A08,-,0.1520,
A09,-,0.1410,
A10,-,0.1950,
A11,-,0.1370,
A12,-,0.1430,
B01,-,0.1260,
B02,-,0.1340,
B03,-,0.1370,
B04,-,0.1350,
B05,-,0.1410,
B06,-,0.1390,
B07,-,0.1340,
B08,-,0.1360,
B09,-,0.1350,
B10,-,0.1390,
B11,-,0.1340,
B12,-,0.1270,
C01,-,0.1340,
C02,-,0.1360,
C03,-,0.1340,
C04,-,0.1370,
C05,-,0.1440,
C06,-,0.1340,
C07,-,0.1350,
C08,-,0.1340,
C09,-,0.1360,
C10,-,0.1380,
C11,-,0.1300,
C12,-,0.1350,
D01,-,0.1340,
D02,-,0.1340,
D03,-,0.1350,
D04,-,0.1380,
D05,-,0.1420,
D06,-,0.1300,
D07,-,0.1380,
D08,-,0.1410,
D09,-,0.1450,
D10,-,0.1400,
D11,-,0.1310,
D12,-,0.1360,
E01,-,0.1350,
E02,-,0.1380,
E03,-,0.1350,
E04,-,0.1440,
E05,-,0.1440,
E06,-,0.1360,
E07,-,0.1380,
E08,-,0.1330,
E09,-,0.1400,
E10,-,0.1410,
E11,-,0.1330,
E12,-,0.1350,
F01,-,0.1330,
F02,-,0.1360,
F03,-,0.1400,
F04,-,0.1390,
F05,-,0.1460,
F06,-,0.1360,
F07,-,0.1410,
F08,-,0.1300,
F09,-,0.1370,
F10,-,0.1290,
F11,-,0.5370,
F12,-,0.1360,
G01,-,0.1380,
G02,-,0.1350,
G03,-,0.1310,
G04,-,0.1390,
G05,-,0.1450,
G06,-,0.1340,
