"","A1A","A1B","A1C","A2A","A2B","A2C","A3A","A3B","A3C","C1A","C1B","C1C","C2A","C2B_1","C2C_1","C3A_1","C3B","C3C_1","C4A","C4B","C4C","C5A","C5B","C5C"
"ACZ81_RS00005",12.0357374025669,12.1027287710233,11.4723578582731,12.7768844656514,12.7541342740829,12.7353120180952,12.1518883770242,12.2744274158287,12.5122514742449,12.1129184481931,12.1687836649879,13.3991840545655,11.9612093194267,11.4246388174788,11.0439034712887,12.1509616233248,11.4454526582276,11.54800550271,11.973984818521,11.8140407287606,11.6129201838999,12.0754029619396,12.3565928282081,12.3876022470662
"ACZ81_RS00010",11.3070875142107,11.0081794166045,10.7040579369626,11.2057498754712,11.3740130192713,11.4491310428302,10.7476059516649,10.8761686468108,11.1632305043397,10.9235751836459,11.0407474794101,11.8010722425433,11.3956822288885,10.9813787821882,10.9298583528117,10.8952821052019,10.7126114267249,10.8217101102666,10.8155155001925,10.6913722990568,9.94303192834525,10.8828628887764,10.9688454859395,10.8016419231651
"ACZ81_RS00015",9.17898601583449,9.09683684162703,8.78853577157225,9.78308518242695,9.22897446883571,9.35836378608607,9.04267026410869,9.02414882757189,8.59332101243407,9.4125522954014,8.06521675682032,9.62587037149674,9.17899537182629,9.16033382730879,9.25843879512513,9.27592039149031,9.67500750274832,8.87713909496771,8.95615317257928,8.68878652348299,9.53475090998893,9.04245145184576,9.12651629805363,8.69581506699917
"ACZ81_RS00020",11.876262002576,11.3720410530225,10.9940293401918,11.7091461785926,11.8152443262149,12.073581666569,11.119102123785,11.0437764490818,11.0904131938863,11.9365306280819,11.8479481405238,12.6486396253542,12.3353369733651,11.6474326873218,11.3824718380905,11.8533780279877,10.8630808169087,11.5254789414874,11.2607495286232,11.1900404073645,10.1601447955321,11.3170976565206,11.6420846208218,11.7624703687154
"ACZ81_RS00025",7.06217951294513,6.46350085639596,7.19547464872399,7.88667183658346,7.57458059130565,7.62463489362935,7.73926965398449,7.43574234183193,7.85409425468896,7.19052936855188,7.44853176705212,7.04255100271129,7.79418369700222,7.78031153088326,7.57164549785863,7.16441103500315,7.67569312569392,7.67265630666582,7.11906064272119,7.45482395702756,7.62961810864314,7.07505468278932,7.39329314726694,6.88413875884951
"ACZ81_RS00030",11.1231998715943,11.2266293349628,10.1040437094397,11.1448004121593,11.354651753263,11.5696879275363,10.6898258133711,11.1082902869829,11.502082602771,11.3346726342348,11.6998277553125,11.6921115599089,12.7796755074528,11.8414628046192,11.0151079949899,12.0592203800702,10.5707872501882,11.5898161757279,11.5233364517574,11.5896926314588,10.1410481816667,11.766331421812,11.7807673274667,12.0773428693679
"ACZ81_RS00035",9.83789768593801,10.1626353842782,10.0273591985359,10.3870093854163,10.5414490860226,10.3724962195334,10.122026328498,10.8194099263896,10.6352241383891,10.045806880942,9.97651367985088,10.3964207480402,11.5561708429156,10.8544702892453,10.4859221555685,11.4527760535058,10.6066679312702,10.8981346110088,11.0271623295498,10.9337426441525,10.7526802685261,11.0130125140291,11.2972536576702,11.0560250511666
"ACZ81_RS00040",8.29248287872735,7.9048469471546,7.8390927289183,8.41165695109851,8.0565741564919,8.19860552275478,8.07283737364,7.83088191357636,8.21514971661121,8.14103277761322,8.60224676380085,7.84331480964787,7.59392888227403,7.9428391292133,8.30151229121413,7.83545964820471,8.2544402501322,8.06350939872563,7.80423583735189,8.40321615171455,8.10440229078468,8.06307620390187,8.03722539171983,7.87570420321744
"ACZ81_RS00045",9.84892110300929,9.56726091375655,10.9970113438802,9.63027036567441,9.57486092102615,9.60483611943423,9.99732499243946,9.54575709185093,9.36832017231989,10.3644337438925,10.5846719414049,10.2023632740549,9.31859421596674,9.47457487454266,9.8003932352458,9.5164629888099,10.2341011001002,9.22408642371483,9.27823356740235,9.39756125231807,9.87819698881617,9.47510756014589,9.44881337940064,9.65025199146466
"ACZ81_RS00050",9.8771938725626,9.73081322963947,9.90568895001535,10.3968447771971,10.3143500217809,9.96436238261936,10.0424407566531,9.99242048524731,10.3167099123323,10.0433286769212,9.68621752517534,10.399169210311,9.89380230498558,9.50500440068833,9.19664509006877,9.75619335268641,9.05137456495299,10.1240450789,10.4110316971035,10.3529947548963,9.07808165521897,9.64810550569445,9.8218686831445,9.70775862382902
"ACZ81_RS00055",7.49231294385137,7.77124891669746,8.21213446805477,8.11052125267205,9.33104446460961,9.04329657599966,9.13107493584039,9.66873524083072,9.62482185879088,7.82024106420714,7.40630218201467,8.67826444166195,8.01534838256166,8.5926249849775,9.03831448911663,8.74703323499976,9.09121035594138,8.74327249303261,8.49935137030104,9.05982239427085,9.33915352137681,9.00288718984235,8.66634376938985,8.50997777471068
"ACZ81_RS00060",11.9826792350023,11.7142097241875,11.6524121318125,11.3324358666728,12.001049915056,11.5904544683325,11.7381440795402,11.7666790987528,11.4079109013593,11.9068485329377,11.5469207251567,11.5947695079106,12.0571428799043,11.6711054542111,11.9223108690322,11.8142651792736,12.4992582752127,11.6911902141246,11.7586427746307,11.4141429861091,11.6129201838999,11.4448978770677,11.512161442018,11.3141562731864
"ACZ81_RS00065",10.4543142069881,10.1723763017475,9.69045772704022,10.3671351211589,9.89044499161154,10.2287332975785,9.71296427129525,9.31658660565121,9.65064026724406,10.7183002127044,10.4169693975759,10.5227741487013,9.74016635070469,9.53212135742898,9.63553464381901,9.33884651406625,9.92632764591383,9.59646515253856,9.92379272217849,9.89522141302258,9.70371400038286,9.76757799881399,9.89802021623631,9.86431507777966
"ACZ81_RS00070",9.53622730281436,9.60306097932677,8.90108450017144,10.2988376520603,10.5200001026006,10.3809353060769,9.91417053637185,10.3058497257563,10.9023497709714,9.38932154382124,9.83269854997969,10.1380047793178,12.1305164057635,11.0612643586315,10.0544650293512,10.8452586215149,9.84159669704198,10.6807084892805,10.8797322184138,10.8309040020716,9.71020723108559,10.7285808115943,10.7389496003154,10.9583221736776
"ACZ81_RS00075",9.31081036314575,9.47581633142345,9.12480983182058,9.47798006033339,9.6298791038481,9.39771220255308,9.36965550444687,9.11972389479359,9.4022152013657,9.64607733475284,9.73813256384991,9.67659500932487,9.4748102395259,9.65315740766836,9.47887611555918,9.57477188272396,9.01912907881497,9.32976164362431,9.46206946361495,9.34648240276817,9.10297035101254,9.45011022899894,9.86607544743723,9.82673988990952
"ACZ81_RS00080",8.48855815579274,8.46505759087302,8.72519304741262,9.05783718803269,9.0426991849492,9.10573411600276,9.02621279787145,8.85094358637712,8.78253425587091,8.81137678086379,8.99263115183481,8.94227446600215,8.03103358213463,8.80766046774843,8.93802052478058,9.22259396902687,9.28987420441651,8.69463970793524,8.67098375422325,8.80886093842581,9.43243202756083,8.93543587631727,9.02952238503394,8.99278864971692
"ACZ81_RS00085",9.03774892268314,8.713391917378,7.8390927289183,8.78569919110995,8.76990020738365,8.92258124164537,8.89769720553702,8.82568472475382,8.90143129866497,8.51482262027609,8.54508580748358,8.57506498628882,9.21375191978573,8.9652066933645,9.23172920742508,9.17044210566728,8.45422651634436,8.82386862369211,8.93212246713569,9.16597976562822,8.94675638398244,9.13946777393254,9.27987804706575,9.10549550754595
"ACZ81_RS00090",10.139370696551,9.17292364242925,8.0142805139377,8.60512737894623,9.12408125401954,9.13818215186475,8.95347284558816,8.87207114471476,9.22135456022684,8.77598349618114,8.64820852711684,8.94227446600215,9.6449054676054,8.37618190957667,8.85544234203143,9.06877547381323,8.47339767597191,9.05461244174454,9.04846129990535,9.4159329661792,8.95224553828371,9.32736136485152,9.49677023155792,9.31244812115534
"ACZ81_RS00095",11.6156967630352,11.0856682609188,10.9454594359532,10.3231112820915,10.4799900447295,10.5878728037019,10.2337326235287,10.0182874916992,10.4585810554583,10.3139255836391,10.3009451037171,10.6272725792361,10.4626036162112,9.33987406103247,9.76091108635809,10.0448050968226,9.1459907938955,9.8587227245684,10.0927801475633,9.88771944372603,9.39261515876727,10.161971908823,10.4928878108215,10.3003779597648
"ACZ81_RS00100",14.1430299673509,13.5899405398195,13.3214864769556,12.5866200436261,12.0600702504077,11.9248895154011,11.8095927041559,11.348863831611,11.1332730404287,12.3797202214905,11.9020478242338,12.4024179897203,11.2202159523733,11.2109753828168,11.8010408647362,11.0890418647056,11.7203773547532,10.9781807476698,12.5236505534645,11.6706033136499,13.0267550037163,11.4997226927756,12.1279966935183,11.976061152166
"ACZ81_RS00105",11.389042040433,11.6059825924236,11.686983680253,10.0221349817262,10.73922795318,9.9161437068651,10.9838304895116,11.8752778062887,10.5977968597064,11.0780449452022,9.91394078808021,10.4714648842633,11.7398566196306,11.0091452365981,9.93183086084292,9.34456291214715,9.70369216806271,9.38392590550418,9.17671021784572,9.05982239427085,9.72310665922926,9.71783140362916,9.84770178528105,9.36582498238046
