gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,na_pvalue,na_padj,significant,direction,status
TX50_RS00020...1,1382.0164787029485,10.020743424519038,0.09672957591995572,98.42639476055915,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00025...2,105.18225762083556,7.077629371279,0.15633021624332874,42.07522722952604,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00030...3,688.4677651867247,8.6476298198168209,0.12093244527811965,67.37339843810281,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00035...4,350.6688232343651,8.40645482937738,0.09943583542544097,79.51313322354295,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00040...5,636.5248086641053,9.28685625712454,0.08967768045326706,97.9826442065878,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00045...6,105.80150336387102,6.520476668948521,0.17393239749658562,34.61388881888267,1.5616852251806995e-262,2.4269609450838365e-262,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00050...7,278.5660197898978,6.95544837563132,0.13558038871599662,47.613437583172136,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00055...8,1765.18331823087,10.383920739004862,0.13073482568812098,75.60281422322613,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00060...9,145.39816232609445,7.412693882645703,0.19896172566430564,34.743837587682634,1.7172413172031778e-264,2.679937207150414e-264,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00065...10,242.4447318062237,7.933335244287885,0.14442183857348276,51.469606797075606,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00070...11,116.38634461925892,7.106503009484466,0.1353279332645152,48.81847265465318,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00075...12,279.6117291095901,8.289352193911087,0.13629948394003508,57.14880180572078,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00080...13,3752.5604670725334,11.739490276686563,0.17359995330228592,64.74362500037934,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00085...14,134.86395753326312,6.088849986358118,0.23869854792787223,23.41384157915743,3.0890787404042707e-121,3.7753144263081854e-121,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00090...15,515.5025856959525,7.949386426359954,0.14244866571886072,52.29523483963127,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00095...16,2154.5237528337498,10.674934108197302,0.14790772547650863,68.79244525880652,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00100...17,849.4904008475849,8.96279591345258,0.13926831536130796,60.766125385356276,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00105...18,137.00857545378096,6.363776178481671,0.16278932859242515,36.02064231840884,3.975605760270583e-284,6.414946109261672e-284,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00110...19,117.9895211273716,5.571468399649847,0.28760045203055495,17.633728889657828,1.3571389791339778e-69,1.5212428460183766e-69,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00115...20,1111.0394833381336,10.629112956877927,0.18472638312150128,54.8330605824488,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00120...21,43.036440332956715,5.089515674980797,0.21950827914240387,20.908166620919992,4.512415120426839e-97,5.325281752559745e-97,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00125...22,154.35085987289204,6.993536146477981,0.17414838933540808,37.28737412535866,2.6289107732002045e-304,4.38703922008387e-304,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00130...23,5045.045282998278,13.181163162590272,0.20614659185725953,61.515269538731886,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00135...24,225.44558108219462,7.667702059349918,0.1062860761514883,67.43782740773943,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00140...25,1924.1411562418646,11.143497684535212,0.19047619166033064,55.87836249642884,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00145...26,897.8532469536284,10.167625204113053,0.14975473681201246,64.55639006764007,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00150...27,1058.0909787857097,10.262885431727337,0.12071913217250882,80.87272709827037,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00155...28,121.91451630663478,6.642040500478326,0.1564811155051077,39.25100150681021,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00160...29,179.1094904285827,7.991078446012147,0.18080733879407798,41.43127428330638,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00165...30,39.6717778301906,4.891623348998894,0.29342406545752253,14.966813789289025,1.2097999824265672e-50,1.3147533220509118e-50,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00170...31,273.2794695123108,8.226869790886465,0.14650902482489297,52.73988957418555,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00175...32,101.93881730393375,5.799675720081544,0.20548097159900047,25.791564439474957,1.1026197506335123e-146,1.4030590375254166e-146,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00180...33,276.9683866078316,7.830229735508974,0.12922879050526104,56.72288432669772,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00185...34,1165.2630406107937,9.740315932224448,0.18520736866135654,49.891729465256624,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00190...35,958.798809916874,9.952823328187893,0.11896344404990408,79.45989966651032,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00195...36,138.2239239216688,7.241385633325345,0.16248165971353987,41.4901327645878,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00200...37,587.0638672617935,9.09912407934896,0.0871809419670108,98.63536554357098,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00205...38,60.457054153513695,5.86791270959478,0.1395818317845287,38.45710176580274,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00210...39,271.28712067021826,8.038256133306371,0.1798799901403272,41.90714113018162,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00215...40,170.10397963578728,6.8480987478586055,0.12174846532295876,52.141098707233645,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00220...41,243.7797559413831,8.487728942961109,0.20690671089830703,38.60546092623846,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00225...42,371.3168628175885,8.073996529094355,0.12143462537009769,62.370979496259814,0,0,Intercept,FALSE,FALSE,TRUE,up,up
TX50_RS00230...43,1839.971440027334,9.619916669799554,0.17576771317529963,51.88618833940181,0,0,Intercept,FALSE,FALSE,TRUE,up,up
