contrast,gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1,Length,down,up
C2 - C1,TX50_RS01980,2.60293324788411,0.916715558369955,5.95146673564248e-7,4.86828664423558e-4,Proteome,C2vsC1_prot,852,FALSE,TRUE
C2 - C1,TX50_RS05125,1.79564603169759,2.04648812611898,8.76324447234272e-7,4.86828664423558e-4,Proteome,C2vsC1_prot,1707,FALSE,TRUE
C2 - C1,TX50_RS09075,1.11675389607747,1.46785945892334,1.02562218628559e-6,4.86828664423558e-4,Proteome,C2vsC1_prot,2571,FALSE,TRUE
C2 - C1,TX50_RS05175,1.43806902567546,-0.20702444712321,2.48619601690014e-6,8.85085782016449e-4,Proteome,C2vsC1_prot,753,FALSE,TRUE
C2 - C1,TX50_RS08845,-0.988426844278973,3.74974295298258,3.18650327811504e-6,9.07516133607162e-4,Proteome,C2vsC1_prot,1419,TRUE,FALSE
C2 - C1,TX50_RS01985,1.7087459564209,-0.255776659647624,5.2263531420442e-6,0.00124038781237849,Proteome,C2vsC1_prot,441,FALSE,TRUE
C2 - C1,TX50_RS05585,2.32117589314778,-1.72601579030355,6.90796724165451e-6,0.00140527790744515,Proteome,C2vsC1_prot,954,FALSE,TRUE
C2 - C1,TX50_RS05180,1.49956321716309,1.34725170135498,1.09943130000867e-5,0.0017487735074487,Proteome,C2vsC1_prot,708,FALSE,TRUE
C2 - C1,TX50_RS05170,1.69619687398275,-1.34694054921468,1.1356671415754301e-05,0.0017487735074487,Proteome,C2vsC1_prot,1134,FALSE,TRUE
C2 - C1,TX50_RS07865,1.34688440958659,1.29842980702718,1.24467904055993e-5,0.0017487735074487,Proteome,C2vsC1_prot,336,FALSE,TRUE
C2 - C1,TX50_RS04160,1.04220898946127,-0.19498831431071,1.46820507840964e-5,0.0017487735074487,Proteome,C2vsC1_prot,249,FALSE,TRUE
C2 - C1,TX50_RS07755,-1.68563524881999,3.03145872751872,1.53196568123218e-5,0.0017487735074487,Proteome,C2vsC1_prot,474,TRUE,FALSE
C2 - C1,TX50_RS01975,2.7204049428304,-2.5107385635376,1.61573967257723e-5,0.0017487735074487,Proteome,C2vsC1_prot,780,FALSE,TRUE
C2 - C1,TX50_RS01795,1.12920188903809,-2.13131898244222,1.719299796649e-5,0.0017487735074487,Proteome,C2vsC1_prot,1527,FALSE,TRUE
C2 - C1,TX50_RS05830,1.23334757486979,-1.38758233388265,2.25493207383622e-5,0.00214068218209519,Proteome,C2vsC1_prot,897,FALSE,TRUE
C2 - C1,TX50_RS01620,-1.03121757507324,4.75975157419841,2.66746952542514e-5,0.00237404787762837,Proteome,C2vsC1_prot,1089,TRUE,FALSE
C2 - C1,TX50_RS05135,2.13397534688314,-0.450893974304199,2.94254765568661e-5,0.00237776175467656,Proteome,C2vsC1_prot,300,FALSE,TRUE
C2 - C1,TX50_RS04285,0.886192321777346,5.19382241566976,3.00559772360801e-5,0.00237776175467656,Proteome,C2vsC1_prot,552,FALSE,TRUE
C2 - C1,TX50_RS00840,0.997378031412764,2.83088461558024,3.24457213480967e-5,0.00243172143156262,Proteome,C2vsC1_prot,1143,FALSE,TRUE
C2 - C1,TX50_RS07090,0.832675933837891,4.39304955800374,3.63768367707072e-5,0.00259003077807435,Proteome,C2vsC1_prot,273,FALSE,TRUE
C2 - C1,TX50_RS01275,1.76032638549805,1.24846350351969,4.97868137134628e-5,0.00321164526921619,Proteome,C2vsC1_prot,732,FALSE,TRUE
C2 - C1,TX50_RS05580,2.90846252441406,-0.98016783396403,5.18481603197453e-5,0.00321164526921619,Proteome,C2vsC1_prot,1443,FALSE,TRUE
C2 - C1,TX50_RS05115,0.956626256306968,1.07116629282634,5.25869944014663e-5,0.00321164526921619,Proteome,C2vsC1_prot,1755,FALSE,TRUE
C2 - C1,TX50_RS03160,-0.841197331746415,1.55098857879639,5.41288528519582e-5,0.00321164526921619,Proteome,C2vsC1_prot,2085,TRUE,FALSE
C2 - C1,TX50_RS00070,-0.944631576538086,0.0152232487996415,6.03284068082709e-5,0.00334859589053191,Proteome,C2vsC1_prot,1341,TRUE,FALSE
C2 - C1,TX50_RS04030,-0.84960428873698,4.1085423151652,6.11400935069028e-5,0.00334859589053191,Proteome,C2vsC1_prot,702,TRUE,FALSE
C2 - C1,TX50_RS04820,-1.44752883911133,-0.0377370834350584,6.40968187719922e-5,0.00335150454773728,Proteome,C2vsC1_prot,234,TRUE,FALSE
C2 - C1,TX50_RS03015,0.770302454630534,0.823029390970866,6.59003703206768e-5,0.00335150454773728,Proteome,C2vsC1_prot,1389,FALSE,TRUE
C2 - C1,TX50_RS04910,2.55111503601075,5.63148746490479,7.3109120128998e-5,0.00358990989874804,Proteome,C2vsC1_prot,1419,FALSE,TRUE
C2 - C1,TX50_RS06225,0.886056264241539,0.964246559143067,7.86906259862797e-5,0.00373518171348207,Proteome,C2vsC1_prot,522,FALSE,TRUE
C2 - C1,TX50_RS01970,2.44718742370605,3.66575603485107,8.2424842709351e-5,0.00378622503284245,Proteome,C2vsC1_prot,1491,FALSE,TRUE
C2 - C1,TX50_RS07260,0.742664972941081,2.47371616363525,1.2997383696929e-4,0.00566674442755714,Proteome,C2vsC1_prot,1584,FALSE,TRUE
C2 - C1,TX50_RS08675,0.727554321289063,2.86640008290609,1.31322026762209e-4,0.00566674442755714,Proteome,C2vsC1_prot,1050,FALSE,TRUE
C2 - C1,TX50_RS01670,0.752407073974607,2.70349496205648,1.40430443906812e-4,0.00588155741539117,Proteome,C2vsC1_prot,813,FALSE,TRUE
C2 - C1,TX50_RS09360,0.660293579101561,1.34657001495361,1.46734966677004e-4,0.00595708218062169,Proteome,C2vsC1_prot,1221,FALSE,TRUE
C2 - C1,TX50_RS05590,1.8949940999349,-1.53733412424723,1.53626939162905e-4,0.00595708218062169,Proteome,C2vsC1_prot,858,FALSE,TRUE
C2 - C1,TX50_RS05130,1.52424176534017,0.227648735046386,1.54783736434693e-4,0.00595708218062169,Proteome,C2vsC1_prot,318,FALSE,TRUE
C2 - C1,TX50_RS05100,2.78724797566732,-2.3178871790568,1.7835196018426e-4,0.00668350503427332,Proteome,C2vsC1_prot,225,FALSE,TRUE
C2 - C1,TX50_RS01330,0.699534734090169,-0.063520622253418,2.2004080464788e-4,0.00790941370872855,Proteome,C2vsC1_prot,1299,FALSE,TRUE
C2 - C1,TX50_RS04905,-0.752487818400067,1.97057069142659,2.33280769400989e-4,0.00790941370872855,Proteome,C2vsC1_prot,1182,TRUE,FALSE
C2 - C1,TX50_RS03140,0.663538614908855,0.92482369740804,2.35811655989385e-4,0.00790941370872855,Proteome,C2vsC1_prot,3942,FALSE,TRUE
C2 - C1,TX50_RS01155,0.679440816243489,1.72059116363525,2.39265494245698e-4,0.00790941370872855,Proteome,C2vsC1_prot,1092,FALSE,TRUE
C2 - C1,TX50_RS07765,1.17970212300619,0.971469434102376,2.42909720231278e-4,0.00790941370872855,Proteome,C2vsC1_prot,975,FALSE,TRUE
C2 - C1,TX50_RS08815,-0.806395848592121,0.760399436950683,2.45418132302827e-4,0.00790941370872855,Proteome,C2vsC1_prot,2037,TRUE,FALSE
C2 - C1,TX50_RS07880,0.755202611287434,1.01870543162028,2.50625001438934e-4,0.00790941370872855,Proteome,C2vsC1_prot,1383,FALSE,TRUE
C2 - C1,TX50_RS07875,0.730193456013998,0.345611763000488,2.58886686375962e-4,0.00790941370872855,Proteome,C2vsC1_prot,1293,FALSE,TRUE
C2 - C1,TX50_RS07780,0.7713565826416,-0.581471443176269,2.61055087296518e-4,0.00790941370872855,Proteome,C2vsC1_prot,1695,FALSE,TRUE
C2 - C1,TX50_RS05755,1.45615641276042,-2.26473191579183,2.79361512330565e-4,0.00828772486580676,Proteome,C2vsC1_prot,1392,FALSE,TRUE
C2 - C1,TX50_RS08280,-0.937968571980795,3.15144786834717,2.87590185214017e-4,0.00835772293356654,Proteome,C2vsC1_prot,534,TRUE,FALSE
C2 - C1,TX50_RS04720,1.02366383870443,0.482583300272624,2.98264723750751e-4,0.00849457933242138,Proteome,C2vsC1_prot,486,FALSE,TRUE
C2 - C1,TX50_RS08275,-0.925361633300777,3.72251402537028,3.44086209659303e-4,0.00960742671676171,Proteome,C2vsC1_prot,399,TRUE,FALSE
C2 - C1,TX50_RS01125,1.01965077718099,-2.36614004770915,3.65754911975995e-4,0.0100160575894965,Proteome,C2vsC1_prot,981,FALSE,TRUE
C2 - C1,TX50_RS04120,0.964701970418294,-0.205217806498209,3.78769437097533e-4,0.0100245689120136,Proteome,C2vsC1_prot,735,FALSE,TRUE
C2 - C1,TX50_RS08435,0.694891611735027,2.05778865814209,3.80145169416247e-4,0.0100245689120136,Proteome,C2vsC1_prot,2967,FALSE,TRUE
C2 - C1,TX50_RS03165,-1.21734110514323,2.19885985056559,3.96422643280347e-4,0.0101180737728455,Proteome,C2vsC1_prot,1548,TRUE,FALSE
C2 - C1,TX50_RS01260,0.769187927246097,2.23930009206136,4.07407452240027e-4,0.0101180737728455,Proteome,C2vsC1_prot,636,FALSE,TRUE
C2 - C1,TX50_RS00225,-0.630690256754558,0.490732002258301,4.10132315239595e-4,0.0101180737728455,Proteome,C2vsC1_prot,1800,TRUE,FALSE
C2 - C1,TX50_RS00240,0.790144602457683,-0.692998695373535,4.13742777864916e-4,0.0101180737728455,Proteome,C2vsC1_prot,1944,FALSE,TRUE
C2 - C1,TX50_RS07095,1.01430638631185,-0.0619487126668293,4.19217944240086e-4,0.0101180737728455,Proteome,C2vsC1_prot,2031,FALSE,TRUE
C2 - C1,TX50_RS01075,0.596321105957034,3.43820107777913,4.79688108369601e-4,0.011259592334044,Proteome,C2vsC1_prot,1290,FALSE,TRUE
C2 - C1,TX50_RS04695,0.689813613891602,2.22548796335856,4.82328042399357e-4,0.011259592334044,Proteome,C2vsC1_prot,912,FALSE,TRUE
C2 - C1,TX50_RS05885,1.118683497111,-1.66222515106201,5.08975419484689e-4,0.011690016086229,Proteome,C2vsC1_prot,597,FALSE,TRUE
C2 - C1,TX50_RS08580,0.639933268229166,-0.801529630025228,5.19554269803357e-4,0.0117435758761902,Proteome,C2vsC1_prot,747,FALSE,TRUE
C2 - C1,TX50_RS08215,-0.907707850138347,3.45801499684652,5.71651593043512e-4,0.0127192479452181,Proteome,C2vsC1_prot,429,TRUE,FALSE
C2 - C1,TX50_RS03200,-0.830797195434567,1.88491598765055,5.92683407917582e-4,0.0129843257365329,Proteome,C2vsC1_prot,900,TRUE,FALSE
C2 - C1,TX50_RS02550,-1.00974273681641,1.28997236887614,7.08767228521202e-4,0.0147681787256896,Proteome,C2vsC1_prot,186,TRUE,FALSE
