gene_id,gene,product,status,main,sub,path,ecpath,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,Length,organism,protein_id
TX50_RS00020,dnaN,DNA polymerase III subunit beta,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09124 Replication and repair // 09182 Protein families: genetic information processing,03030 DNA replication [PATH:ko03030] // 03430 Mismatch repair [PATH:ko03430] // 03440 Homologous recombination [PATH:ko03440] // 03032 DNA replication proteins [BR:ko03032] // 03400 DNA repair and recombination proteins [BR:ko03400],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],1382.0164787029485,0.5992360862843813,0.12124343585894119,0.8184862593290081,0.41307958489156144,1,treatment_long.term_vs_ref,1155,MED4,WP_011131639.1
TX50_RS00025,TX50_RS00025,hypothetical protein,no_significant,,,,,105.18225762083556,-0.6023740362440139,0.2036270630987823,-0.5027526041288077,0.6151382201106783,1,treatment_long.term_vs_ref,705,MED4,WP_011131640.1
TX50_RS00030,purL,phosphoribosylformylglycinamidine synthase subunit PurL,up,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K23269  purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3],688.4677651867247,1.0799453015805798,0.15146136387848197,3.828998278702099,1.2866590675215362e-4,0.0011191344103915163,treatment_long.term_vs_ref,2337,MED4,WP_011131641.1
TX50_RS00035,purF,amidophosphoribosyltransferase,no_significant,09100 Metabolism // 09180 Brite Hierarchies,09104 Nucleotide metabolism // 09105 Amino acid metabolism // 09181 Protein families: metabolism,"00230 Purine metabolism [PATH:ko00230] // 00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250] // 01002 Peptidases and inhibitors [BR:ko01002]","K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",350.6688232343651,0.07797915914704599,0.12701804164623307,0,1,1,treatment_long.term_vs_ref,1458,MED4,WP_011131642.1
TX50_RS00040,TX50_RS00040,DNA topoisomerase 4 subunit A,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032] // 03400 DNA repair and recombination proteins [BR:ko03400],K02469  gyrA; DNA gyrase subunit A [EC:5.6.2.2],636.5248086641053,0.04297486317955946,0.11375006644398578,0,1,1,treatment_long.term_vs_ref,2439,MED4,WP_011131643.1
TX50_RS00045,TX50_RS00045,tetratricopeptide repeat protein,no_significant,,,,,105.80150336387102,0.3269641699170614,0.2218384549541338,0,1,1,treatment_long.term_vs_ref,852,MED4,WP_011131644.1
TX50_RS00050,queG,tRNA epoxyqueuosine(34) reductase QueG,up,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K18979  queG; epoxyqueuosine reductase [EC:1.17.99.6],278.5660197898978,1.5591593468360445,0.1696638764534572,6.242692133269729,4.3010295129730334e-10,9.844578663027165e-9,treatment_long.term_vs_ref,942,MED4,WP_011131645.1
TX50_RS00055,TX50_RS00055,DUF502 domain-containing protein,no_significant,,,,,1765.18331823087,0.5845511432198663,0.16340988681419602,0.5174175496247946,0.6048647114123624,1,treatment_long.term_vs_ref,735,MED4,WP_011131646.1
TX50_RS00060,nusB,transcription antitermination factor NusB,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021] // 03009 Ribosome biogenesis [BR:ko03009],K03625  nusB; transcription antitermination protein NusB,145.39816232609445,-0.3871150403922745,0.2528275871296698,-0,1,1,treatment_long.term_vs_ref,624,MED4,WP_036930720.1
TX50_RS00065,ftsY,signal recognition particle-docking protein FtsY,no_significant,09120 Genetic Information Processing // 09130 Environmental Information Processing // 09140 Cellular Processes // 09180 Brite Hierarchies,"09123 Folding, sorting and degradation // 09131 Membrane transport // 09145 Cellular community - prokaryotes // 09183 Protein families: signaling and cellular processes",03060 Protein export [PATH:ko03060] // 03070 Bacterial secretion system [PATH:ko03070] // 02024 Quorum sensing [PATH:ko02024] // 02044 Secretion system [BR:ko02044],K03110  ftsY; fused signal recognition particle receptor,242.4447318062237,-0.01807185903900713,0.18332420453013237,-0,1,1,treatment_long.term_vs_ref,1320,MED4,WP_011131648.1
