MIT1002-mutant-library,MIT1002-used-for-model,ATCC27126_new,ATCC27126_old,HOT1A3_new,HOT1A3_old
MIT1002_00001,TK37_RS04860,MASE_RS00005,MASE_00005,ACZ81_RS00005,ACZ81_00005
MIT1002_00002,TK37_RS04855,MASE_RS00010,MASE_00010,ACZ81_RS00010,ACZ81_00010
MIT1002_00003,TK37_RS04850,MASE_RS00015,MASE_00015,ACZ81_RS00015,ACZ81_00015
MIT1002_00004,TK37_RS04845,MASE_RS00020,MASE_00020,ACZ81_RS00020,ACZ81_00020
MIT1002_00005,TK37_RS04840,MASE_RS00035,MASE_00035,ACZ81_RS00025,ACZ81_00025
MIT1002_00006,TK37_RS04835,MASE_RS00040,MASE_00040,ACZ81_RS00030,ACZ81_00030
MIT1002_00007,TK37_RS04830,MASE_RS00045,MASE_00045,ACZ81_RS00035,ACZ81_00035
MIT1002_00008,TK37_RS04825,MASE_RS00050,MASE_00050,ACZ81_RS00040,ACZ81_00040
MIT1002_00009,TK37_RS04820,MASE_RS00055,MASE_00055,ACZ81_RS00045,ACZ81_00045
MIT1002_00010,TK37_RS04815,MASE_RS00060,MASE_00060,ACZ81_RS00050,ACZ81_00050
MIT1002_00011,TK37_RS04810,MASE_RS00065,MASE_00065,ACZ81_RS00055,ACZ81_00055
MIT1002_00012,TK37_RS04805,MASE_RS00070,MASE_00070,ACZ81_RS00060,ACZ81_00060
MIT1002_00013,TK37_RS04800,MASE_RS00075,MASE_00075,ACZ81_RS00065,ACZ81_00065
MIT1002_00014,TK37_RS04795,MASE_RS00080,MASE_00080,ACZ81_RS00070,ACZ81_00070
MIT1002_00015,TK37_RS04790,MASE_RS00085,MASE_00085,ACZ81_RS00075,ACZ81_00075
MIT1002_00016,TK37_RS04785,MASE_RS00090,MASE_00090,ACZ81_RS00080,ACZ81_00080
MIT1002_00017,TK37_RS04780,MASE_RS00095,MASE_00095,ACZ81_RS00085,ACZ81_00085
MIT1002_00018,TK37_RS04775,MASE_RS00100,MASE_00100,ACZ81_RS00090,ACZ81_00090
MIT1002_00019,TK37_RS04770,MASE_RS00105,MASE_00105,ACZ81_RS00095,ACZ81_00095
MIT1002_00020,TK37_RS04765,MASE_RS00110,MASE_00110,ACZ81_RS00100,ACZ81_00100
MIT1002_00021,TK37_RS04760,MASE_RS00115,MASE_00115,ACZ81_RS00105,ACZ81_00105
MIT1002_00022,TK37_RS04755,MASE_RS00120,MASE_00120,ACZ81_RS00110,ACZ81_00110
MIT1002_00023,TK37_RS04750,MASE_RS00125,MASE_00125,ACZ81_RS00115,ACZ81_00115
MIT1002_00024,TK37_RS04745,MASE_RS00130,MASE_00130,ACZ81_RS00120,ACZ81_00120
MIT1002_00025,TK37_RS04740,MASE_RS00135,MASE_00135,ACZ81_RS00125,ACZ81_00125
MIT1002_00026,TK37_RS04735,MASE_RS00140,MASE_00140,ACZ81_RS00130,ACZ81_00130
MIT1002_00027,TK37_RS04730,MASE_RS00145,MASE_00145,ACZ81_RS00135,ACZ81_00135
MIT1002_00028,TK37_RS04725,MASE_RS00150,MASE_00150,ACZ81_RS00140,ACZ81_00140
MIT1002_00029,TK37_RS04720,MASE_RS00155,MASE_00155,ACZ81_RS00145,ACZ81_00145
MIT1002_00030,TK37_RS04715,MASE_RS00160,MASE_00160,ACZ81_RS00150,ACZ81_00150
MIT1002_00031,TK37_RS04710,MASE_RS00165,MASE_00165,ACZ81_RS00155,ACZ81_00155
MIT1002_00037,TK37_RS10630,MASE_RS00185,MASE_00170,ACZ81_RS00180,ACZ81_00180
MIT1002_00038,TK37_RS10635,MASE_RS00190,MASE_00175,ACZ81_RS00185,ACZ81_00185
MIT1002_00039,TK37_RS10640,MASE_RS00195,MASE_00180,ACZ81_RS00190,ACZ81_00190
MIT1002_00040,TK37_RS10645,MASE_RS00200,MASE_00185,ACZ81_RS00195,ACZ81_00195
MIT1002_00041,TK37_RS10650,MASE_RS00205,MASE_00190,ACZ81_RS00200,ACZ81_00200
MIT1002_00042,TK37_RS10655,MASE_RS00210,MASE_00195,ACZ81_RS00205,ACZ81_00205
MIT1002_00043,TK37_RS10660,MASE_RS00215,MASE_00200,ACZ81_RS00210,ACZ81_00210
MIT1002_00044,TK37_RS10665,MASE_RS00220,MASE_00205,ACZ81_RS00215,ACZ81_00215
MIT1002_00045,TK37_RS10670,MASE_RS00225,MASE_00210,ACZ81_RS00220,ACZ81_00220
MIT1002_00046,TK37_RS10675,MASE_RS00230,MASE_00215,ACZ81_RS00225,ACZ81_00225
MIT1002_00047,TK37_RS10680,MASE_RS00235,MASE_00220,ACZ81_RS00230,ACZ81_00230
MIT1002_00048,TK37_RS10685,MASE_RS00240,MASE_00225,ACZ81_RS00235,ACZ81_00235
MIT1002_00049,TK37_RS10690,MASE_RS00245,MASE_00230,ACZ81_RS00240,ACZ81_00240
MIT1002_00050,TK37_RS10695,MASE_RS00250,MASE_00235,ACZ81_RS00245,ACZ81_00245
MIT1002_00051,TK37_RS10700,MASE_RS00255,MASE_00240,ACZ81_RS00250,ACZ81_00250
MIT1002_00052,TK37_RS10705,MASE_RS00260,MASE_00245,ACZ81_RS00255,ACZ81_00255
MIT1002_00053,TK37_RS10710,MASE_RS00265,MASE_00250,ACZ81_RS00260,ACZ81_00260
MIT1002_00054,TK37_RS10715,MASE_RS00270,MASE_00255,ACZ81_RS00265,ACZ81_00265
MIT1002_00055,TK37_RS10720,MASE_RS00275,MASE_00260,ACZ81_RS00270,ACZ81_00270
MIT1002_00056,TK37_RS10725,MASE_RS00280,MASE_00265,ACZ81_RS00275,ACZ81_00275
MIT1002_00057,TK37_RS10730,MASE_RS00285,MASE_00270,ACZ81_RS00280,ACZ81_00280
MIT1002_00058,TK37_RS10735,MASE_RS00290,MASE_00275,ACZ81_RS00285,ACZ81_00285
MIT1002_00059,TK37_RS10740,MASE_RS00295,MASE_00280,ACZ81_RS00290,ACZ81_00290
MIT1002_00060,TK37_RS10745,MASE_RS00300,MASE_00285,ACZ81_RS00295,ACZ81_00295
MIT1002_00061,TK37_RS10750,MASE_RS00305,MASE_00290,ACZ81_RS00300,ACZ81_00300
MIT1002_00062,TK37_RS10755,MASE_RS00310,MASE_00295,ACZ81_RS00305,ACZ81_00305
MIT1002_00063,TK37_RS10760,MASE_RS00315,MASE_00300,ACZ81_RS00310,ACZ81_00310
