"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","contrast","log.sca.pval"
"WP_061439403.1...1",2.35955174763997,-4.02568451563517,5.79642823772823,0.00010547051556044,0.234566426606419,0.877489945152504,"WP_061439403.1",1,5.40366182529663,0.000173817215753332,0.273364580807332,"A2 - A1",3.75990721099209
"WP_061486784.1...2",-1.42831993103027,1.46637964248657,-4.50367518455502,0.000825740972321016,0.332446284072775,-0.573187592538233,"WP_061486784.1",43,-4.70649635062495,0.000544516801549877,0.273364580807332,"A2 - A1",3.26398871515922
"WP_061485314.1...3",1.38603655497233,-3.19488986333211,4.58401928094438,0.000721716816655813,0.332446284072775,-0.473932135698491,"WP_061485314.1",12,4.48593194827275,0.00079234451910545,0.273364580807332,"A2 - A1",3.10108594187897
"WP_061486950.1...4",0.717553456624347,3.25269985198975,3.81901164119288,0.00268759506827627,0.342388736780863,-1.46452341998648,"WP_061486950.1",95,4.43575118307868,0.000863696345718426,0.273364580807332,"A2 - A1",3.06363891788944
"WP_014949936.1...5",2.15428606669108,-3.57685724894206,4.62741089520196,0.000671337360483885,0.332446284072775,-0.420819171913533,"WP_014949936.1",1,4.39518053232761,0.000926271927091959,0.273364580807332,"A2 - A1",3.03326149809242
"WP_232375969.1...6",0.747507095336914,2.97579304377238,3.82201145132222,0.00267342346175578,0.342388736780863,-1.460453488281,"WP_232375969.1",82,4.36566942187225,0.000974746477883925,0.273364580807332,"A2 - A1",3.01110832540219
"WP_014950794.1...7",1.07736841837565,2.17909876505534,4.70343681759864,0.000591760585307499,0.332446284072775,-0.3285991750497,"WP_014950794.1",8,4.33028306616119,0.00103637632757639,0.273364580807332,"A2 - A1",2.98448251552446
"WP_012516849.1...8",0.907883961995444,4.60988966623942,4.05143169949072,0.00178934510401922,0.342388736780863,-1.15323747052342,"WP_012516849.1",34,4.29527958960179,0.00110133979634316,0.273364580807332,"A2 - A1",2.95807866748663
"WP_014949543.1...9",-1.08544031778971,0.16498343149821,-4.08692052968516,0.0016824700614295,0.342388736780863,-1.10645739008805,"WP_014949543.1",29,-4.23410183617143,0.00122524996391099,0.273364580807332,"A2 - A1",2.91177530160722
"WP_014947886.1...10",0.784970601399743,2.88589413960775,3.64875076528783,0.00363332381145457,0.342388736780863,-1.69759733354559,"WP_014947886.1",110,4.10200800196757,0.00154475451330943,0.273364580807332,"A2 - A1",2.81114052723329
"WP_061485913.1...11",0.8564821879069,-1.61637322107951,4.45460916079365,0.000896887457030867,0.332446284072775,-0.634380275092497,"WP_061485913.1",10,4.05535793604301,0.00167728703584221,0.273364580807332,"A2 - A1",2.77539260977594
"WP_081106079.1...12",1.10031382242838,-1.85734780629476,4.01843578686372,0.00189503992911008,0.342388736780863,-1.19691492258819,"WP_081106079.1",20,4.05289731424161,0.00168459650431536,0.273364580807332,"A2 - A1",2.77350410484247
"WP_014950040.1...13",0.725193659464517,5.46107737223307,3.5650183527336,0.00421809703625811,0.342388736780863,-1.8136303625714,"WP_014950040.1",332,4.04733065204461,0.00170125467858824,0.273364580807332,"A2 - A1",2.76923066744195
"WP_014978686.1...14",-1.0552323659261,1.00284687678019,-3.98564178877657,0.00200651793878146,0.342388736780863,-1.24049798225852,"WP_014978686.1",20,-4.0181739415553,0.0017913344095257,0.273364580807332,"A2 - A1",2.74682333170833
"WP_061094370.1...15",-0.970621109008783,1.90223439534505,-3.92020555750937,0.00224973778790755,0.342388736780863,-1.32796821366868,"WP_061094370.1",20,-3.94863665659334,0.00202664689726316,0.273364580807332,"A2 - A1",2.69322191185387
"WP_014975883.1...16",0.785830179850261,1.91932090123495,3.62504838372818,0.00378987114203314,0.342388736780863,-1.73035346800992,"WP_014975883.1",38,3.89271278507945,0.00223895733226135,0.273364580807332,"A2 - A1",2.64995418267823
"WP_061485025.1...17",-0.847857793172201,0.751678625742594,-3.7564463186563,0.00300151532311286,0.342388736780863,-1.54970293321492,"WP_061485025.1",24,-3.85269353719852,0.0024048771720444,0.273364580807332,"A2 - A1",2.61890710010743
"WP_216600737.1...18",0.655628840128577,4.19750102361043,3.32566818752597,0.00648126295316139,0.342388736780863,-2.1497367444312,"WP_216600737.1",108,3.82130789011124,0.00254384117064288,0.273364580807332,"A2 - A1",2.59451000814419
"WP_014948350.1...19",0.781510670979819,1.33481709162394,4.00305975584472,0.00194648617168124,0.342388736780863,-1.21732826823042,"WP_014948350.1",14,3.81735768165512,0.00256190814338473,0.273364580807332,"A2 - A1",2.59143644583891
"WP_014950457.1...20",0.770444869995123,4.06667709350586,3.45743487403822,0.00511386465785115,0.342388736780863,-1.96394802078587,"WP_014950457.1",62,3.79808761414265,0.00265195661721606,0.273364580807332,"A2 - A1",2.57643358473852
"WP_039224512.1...21",0.56703249613444,1.99622837702433,3.23744807856568,0.00759985473870895,0.371172558539153,-2.27501616598571,"WP_039224512.1",69,3.78964115153179,0.00269244780508308,0.273364580807332,"A2 - A1",2.56985270703987
